Drop,Horizontal_Break,Induced_Vertical_Break,Pitch_Type,Pitch_Vel,In_Play,Spin,sword_num,batters::k_percent,batters::bb_percent,batters::woba,batters::xwoba,batters::sweet_spot_percent,batters::barrel_batted_rate,batters::hard_hit_percent,batters::avg_best_speed,batters::avg_hyper_speed,batters::whiff_percent,batters::swing_percent
41,21,-2,Changeup,84.5,1,2884,0,,,,,,,,,,,
13,12,19,4-Seam Fastball,92.9,0,2362,0,,,,,,,,,,,
14,16,17,4-Seam Fastball,94.2,0,2480,0,,,,,,,,,,,
15,15,16,4-Seam Fastball,94.2,1,2413,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
44,21,-3,Changeup,82.9,0,2736,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
42,18,-3,Changeup,83.9,0,2737,0,,,,,,,,,,,
14,14,18,4-Seam Fastball,93.7,0,2396,0,,,,,,,,,,,
46,20,-5,Changeup,82.2,0,2836,0,,,,,,,,,,,
46,20,-5,Changeup,81.9,0,2808,0,,,,,,,,,,,
46,20,-5,Changeup,82.5,1,2804,0,,,,,,,,,,,
15,15,16,4-Seam Fastball,94.5,0,2438,0,,,,,,,,,,,
13,15,17,4-Seam Fastball,95.7,0,2504,0,,,,,,,,,,,
48,20,-7,Changeup,82.3,0,2935,0,,,,,,,,,,,
16,16,16,4-Seam Fastball,92.8,0,2365,0,,,,,,,,,,,
21,17,9,Sinker,97.1,0,2187,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
39,12,0,Sweeper,84.0,0,2465,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
21,18,8,Sinker,97.7,0,2263,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
21,20,9,Sinker,97.6,0,2470,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
11,3,19,4-Seam Fastball,95.7,0,2321,0,24.8,9.1,.320,.315,31.5,9,42.5,100.5755593,94.71566397,25.6,45.1
13,0,18,4-Seam Fastball,95.2,0,2273,0,24.8,9.1,.320,.315,31.5,9,42.5,100.5755593,94.71566397,25.6,45.1
36,5,1,Slider,85.2,0,2454,0,24.8,9.1,.320,.315,31.5,9,42.5,100.5755593,94.71566397,25.6,45.1
29,16,10,Changeup,84.9,0,1883,0,24.8,9.1,.320,.315,31.5,9,42.5,100.5755593,94.71566397,25.6,45.1
25,7,8,Slider,89.6,0,2311,0,24.8,9.1,.320,.315,31.5,9,42.5,100.5755593,94.71566397,25.6,45.1
26,6,8,Slider,88.6,1,2396,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
28,7,7,Slider,88.1,0,2355,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
29,15,10,Changeup,84.6,0,1813,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
12,5,18,4-Seam Fastball,95.9,1,2274,0,,,,,,,,,,,
14,3,16,4-Seam Fastball,96.2,0,2175,0,,,,,,,,,,,
32,8,4,Slider,87.1,0,2304,0,,,,,,,,,,,
12,4,18,4-Seam Fastball,95.8,1,2152,0,,,,,,,,,,,
26,11,11,Changeup,86.6,0,2022,0,,,,,,,,,,,
24,6,9,Slider,90.8,0,2363,0,,,,,,,,,,,
24,6,10,Slider,89.9,0,2324,0,,,,,,,,,,,
12,3,18,4-Seam Fastball,96.3,1,2158,0,,,,,,,,,,,
39,7,-2,Slider,85.0,0,2283,0,,,,,,,,,,,
12,5,18,4-Seam Fastball,96.9,0,2231,0,,,,,,,,,,,
28,15,10,Changeup,84.0,1,1915,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
13,2,16,4-Seam Fastball,96.7,0,2178,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
34,8,2,Slider,87.3,0,2318,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
12,5,17,4-Seam Fastball,97.3,0,2258,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
14,4,15,4-Seam Fastball,97.8,0,2190,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
28,12,10,Changeup,85.5,0,1819,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
29,9,5,Slider,89.2,0,2361,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
25,8,9,Slider,89.7,0,2380,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
13,7,17,4-Seam Fastball,96.7,1,2330,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
11,7,18,4-Seam Fastball,97.8,0,2359,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
28,16,9,Changeup,86.3,0,1967,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
12,2,17,4-Seam Fastball,97.9,0,2269,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
11,3,18,4-Seam Fastball,97.6,0,2265,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
31,14,6,Changeup,86.1,0,1912,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
12,7,17,4-Seam Fastball,97.7,0,2343,0,21.7,8.3,.350,.407,37.1,15.9,54.7,104.897196,97.470592235,24.4,46.1
47,5,-5,Splitter,80.5,0,697,0,,,,,,,,,,,
39,4,2,Splitter,81.2,0,728,0,,,,,,,,,,,
39,7,3,Splitter,80.5,0,771,0,,,,,,,,,,,
41,8,3,Splitter,80.0,0,746,0,,,,,,,,,,,
43,4,0,Splitter,80.0,0,677,0,,,,,,,,,,,
43,8,-1,Splitter,80.2,0,1112,0,,,,,,,,,,,
13,6,18,4-Seam Fastball,94.1,0,2258,0,,,,,,,,,,,
42,4,0,Splitter,80.2,0,827,0,,,,,,,,,,,
40,6,2,Splitter,80.7,0,791,0,,,,,,,,,,,
44,1,-2,Splitter,79.6,0,667,0,,,,,,,,,,,
44,4,-1,Splitter,79.6,0,892,0,,,,,,,,,,,
42,5,-1,Splitter,80.9,0,856,0,,,,,,,,,,,
47,5,-2,Splitter,78.5,0,827,0,,,,,,,,,,,
42,15,-6,Sinker,87.2,0,2069,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
44,15,-8,Sinker,86.9,0,1984,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
45,17,-8,Sinker,86.9,0,2003,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
42,16,-7,Sinker,88.6,0,2046,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
45,15,-8,Sinker,86.9,0,2029,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
42,12,-6,Sinker,87.4,0,1983,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
